discipline,parameterCategory,parameterNumber,tag,comment,probabilityType,productDefinitionTemplateNumber,scaleFactorOfFirstFixedSurface,scaleFactorOfLowerLimit,scaleFactorOfSecondFixedSurface,scaledValueOfFirstFixedSurface,scaledValueOfLowerLimit,scaledValueOfSecondFixedSurface,typeOfFirstFixedSurface,typeOfSecondFixedSurface,typeOfStatisticalProcessing,
3,1,0,estp,Estimated precipitation,,,,,,,,,,,,
3,1,1,irrate,Instantaneous rain rate,,,,,,,,,,,,
3,1,2,ctoph,Cloud top height,,,,,,,,,,,,
3,1,3,ctophqi,Cloud top height quality indicator,,,,,,,,,,,,
3,1,4,estu,Estimated u component of wind,,,,,,,,,,,,
3,1,5,estv,Estimated v component of wind,,,,,,,,,,,,
3,1,6,npixu,Number of pixels used,,,,,,,,,,,,
3,1,7,solza,Solar zenith angle,,,,,,,,,,,,
3,1,8,raza,Relative azimuth angle,,,,,,,,,,,,
3,1,9,rfl06,Reflectance in 0.6 micron channel,,,,,,,,,,,,
3,1,10,rfl08,Reflectance in 0.8 micron channel,,,,,,,,,,,,
3,1,11,rfl16,Reflectance in 1.6 micron channel,,,,,,,,,,,,
3,1,12,rfl39,Reflectance in 3.9 micron channel,,,,,,,,,,,,
3,1,13,atmdiv,Atmospheric divergence,,,,,,,,,,,,
10,0,0,wvsp1,Wave spectra (1),,,,,,,,,,,,
10,0,1,wvsp2,Wave spectra (2),,,,,,,,,,,,
10,0,2,wvsp3,Wave spectra (3),,,,,,,,,,,,
10,0,4,wvdir,Direction of wind waves,,,,,,,,,,,,
10,0,5,shww,Significant height of wind waves,,,,,,,,,,,,
10,0,6,mpww,Mean period of wind waves,,,,,,,,,,,,
10,0,7,swdir,Direction of swell waves,,,,,,,,,,,,
10,0,8,swell,Significant height of swell waves,,,,,,,,,,,,
10,0,9,swper,Mean period of swell waves,,,,,,,,,,,,
10,0,10,dirpw,Primary wave direction,,,,,,,,,,,,
10,0,11,perpw,Primary wave mean period,,,,,,,,,,,,
10,0,12,dirsw,Secondary wave direction,,,,,,,,,,,,
10,0,13,persw,Secondary wave mean period,,,,,,,,,,,,
10,1,0,dirc,Current direction,,,,,,,,,,,,
10,1,1,spc,Current speed,,,,,,,,,,,,
10,1,2,ucurr,U-component of current,,,,,,,,,,,,
10,1,3,vcurr,V-component of current,,,,,,,,,,,,
10,2,0,icec,Ice cover,,,,,,,,,,,,
10,2,1,icetk,Ice thickness,,,,,,,,,,,,
10,2,2,diced,Direction of ice drift,,,,,,,,,,,,
10,2,3,siced,Speed of ice drift,,,,,,,,,,,,
10,2,4,uice,U-component of ice drift,,,,,,,,,,,,
10,2,5,vice,V-component of ice drift,,,,,,,,,,,,
10,2,6,iceg,Ice growth rate,,,,,,,,,,,,
10,2,7,iced,Ice divergence,,,,,,,,,,,,
10,2,8,ist,Ice temperature,,,,,,,,,,,,
10,3,0,wtmp,Water temperature,,,,,,,,,,,,
10,3,1,dslm,Deviation of sea level from mean,,,,,,,,,,,,
10,4,0,mthd,Main thermocline depth,,,,,,,,,,,,
10,4,1,mtha,Main thermocline anomaly,,,,,,,,,,,,
10,4,2,tthdp,Transient thermocline depth,,,,,,,,,,,,
10,4,3,s,Salinity,,,,,,,,,,,,
10,191,0,tsec,Seconds prior to initial reference time (defined in Section 1),,,,,,,,,,,,
